Unnamed: 0,semantic_type,span_text,offsets,doc_id,probability,label,tokens,no_tokens,no_subtokens
0,PERSON,Wirya Kumandra,"(0, 14)",wirya-kumandra,"[-5.127451335116919, -6.62138255215074, -5.223751772014775, -4.379724526777552, -6.470817587852091, -4.291401075986941]",MASK,"['W', '##ir', '##ya', 'Ku', '##mand', '##ra']",2,4
1,DEM,Indonesian,"(21, 31)",wirya-kumandra,[-2.908471648981812],NO_MASK,['Indonesian'],1,0
2,DEM,footballer,"(32, 42)",wirya-kumandra,[-0.17811381142602148],NO_MASK,['footballer'],1,0
3,ORG,Persebaya Surabaya,"(67, 85)",wirya-kumandra,"[-4.009116665804471, -4.830765456806787, -5.963887256461159, -4.320140077005262, -2.994745594749999, -5.90277238534949, -4.303415197106529]",NO_MASK,"['Per', '##se', '##bay', '##a', 'Sur', '##aba', '##ya']",2,5
4,MISC,Indonesian Premier League,"(89, 114)",wirya-kumandra,"[-3.830085011829538, -3.884862871129997, -3.053729427924902]",NO_MASK,"['Indonesian', 'Premier', 'League']",3,0
5,DEM,defender,"(120, 128)",wirya-kumandra,[-0.5352265674495217],MASK,['defender'],1,0
6,PERSON,Joey Muha,"(0, 9)",joey-muha,"[-4.56735625374456, -4.9190727828842284, -3.4453016825821368]",MASK,"['Joey', 'Mu', '##ha']",2,1
7,DEM,Canadian,"(15, 23)",joey-muha,[-2.433745832784571],NO_MASK,['Canadian'],1,0
8,DEM,drummer,"(24, 31)",joey-muha,[-1.500998053820157],MASK,['drummer'],1,0
9,LOC,Port Dover,"(37, 47)",joey-muha,"[-4.9672608300476675, -4.973197929339763]",MASK,"['Port', 'Dover']",2,0
10,LOC,Ontario,"(49, 56)",joey-muha,[-3.2367986692083632],NO_MASK,['Ontario'],1,0
11,ORG,YouTube,"(94, 101)",joey-muha,[-4.926049944509545],NO_MASK,['YouTube'],1,0
12,MISC,videos,"(102, 108)",joey-muha,[-2.1873417420939996],NO_MASK,['videos'],1,0
13,QUANTITY,millions,"(129, 137)",joey-muha,[-5.123228055291756],NO_MASK,['millions'],1,0
14,MISC,views,"(141, 146)",joey-muha,[-4.034689355903792],NO_MASK,['views'],1,0
15,MISC,websites,"(182, 190)",joey-muha,[-0.9397537871538972],NO_MASK,['websites'],1,0
16,DEM,member,"(197, 203)",joey-muha,[-1.3636192867535324],NO_MASK,['member'],1,0
17,MISC,Canadian,"(211, 219)",joey-muha,[-5.4489077076595835],NO_MASK,['Canadian'],1,0
18,MISC,industrial metal band,"(220, 241)",joey-muha,"[-5.712638030969441, -4.6320174475969695, -3.622995032269106]",MASK,"['industrial', 'metal', 'band']",3,0
19,MISC,Threat Signal,"(242, 255)",joey-muha,"[-4.5356349966343545, -5.801901411267403, -6.09080271776495, -5.403816031788058]",MASK,"['T', '##hr', '##eat', 'Signal']",2,2
20,LOC,Wisconsin,"(257, 266)",joey-muha,[-6.1754055955317835],NO_MASK,['Wisconsin'],1,0
21,MISC,death metal band,"(267, 283)",joey-muha,"[-5.680464164146543, -5.0289217257399, -3.6297047843695385]",MASK,"['death', 'metal', 'band']",3,0
22,MISC,Jungle Rot,"(284, 294)",joey-muha,"[-6.167760420466767, -4.049099236074018, -6.608322292089671]",MASK,"['Jungle', 'R', '##ot']",2,1
23,MISC,pop band,"(300, 308)",joey-muha,"[-5.551335103020543, -3.433868868435772]",MASK,"['pop', 'band']",2,0
24,MISC,Liteyears,"(309, 318)",joey-muha,"[-5.072861059685137, -6.024351362753942, -6.098998338429718, -5.71795015060343]",MASK,"['Li', '##te', '##ye', '##ars']",1,3
25,MISC,bands,"(339, 344)",joey-muha,[-2.93784582700451],NO_MASK,['bands'],1,0
26,ORG,Nuclear Blast Records,"(361, 382)",joey-muha,"[-6.463248914025676, -3.7527523467587933, -6.512867423594299, -3.7135982945803985]",NO_MASK,"['Nuclear', 'B', '##last', 'Records']",3,1
27,ORG,Victory Records,"(384, 399)",joey-muha,"[-6.1722918942637435, -4.647722688403564]",MASK,"['Victory', 'Records']",2,0
28,ORG,MapleMusic Recordings,"(401, 422)",joey-muha,"[-6.3411172830993845, -5.7665218285524125, -5.325828172429748, -6.138093044910125, -5.083521631271855]",MASK,"['Maple', '##M', '##us', '##ic', 'Recordings']",2,3
