('Ankara', 'LOC', 'MISC')
('Turkish', 'ORG', 'DEM')
('Government', 'ORG', 'MISC')
('Military', 'ORG', 'DEM')
('Public', 'ORG', 'DEM')
('Prosecutor', 'ORG', 'DEM')
('Northern', 'ORG', 'LOC')
('Ireland', 'ORG', 'LOC')
('United', 'DEM', 'LOC')
('Kingdom', 'DEM', 'LOC')
('patient', 'MISC', 'DEM')
('Justice', 'PERSON', 'DEM')
('Nourse', 'PERSON', 'DEM')
('Northern', 'ORG', 'LOC')
('Ireland', 'ORG', 'LOC')
('United', 'DEM', 'LOC')
('Kingdom', 'DEM', 'LOC')
('wife', 'PERSON', 'DEM')
('212', 'LOC', 'QUANTITY')
('Justice', 'PERSON', 'DEM')
('Nourse', 'PERSON', 'DEM')
('Northern', 'ORG', 'LOC')
('Ireland', 'ORG', 'LOC')
('United', 'DEM', 'LOC')
('Kingdom', 'DEM', 'LOC')
('212', 'MISC', 'QUANTITY')
('Northern', 'ORG', 'LOC')
('Ireland', 'ORG', 'LOC')
('United', 'DEM', 'LOC')
('Kingdom', 'DEM', 'LOC')
('patient', 'MISC', 'DEM')
('doctor', 'MISC', 'DEM')
('patient', 'MISC', 'DEM')
('212', 'MISC', 'QUANTITY')
('Lord', 'PERSON', 'DEM')
('Justice', 'PERSON', 'DEM')
('Nourse', 'PERSON', 'DEM')
('Northern', 'ORG', 'LOC')
('Ireland', 'ORG', 'LOC')
('United', 'DEM', 'LOC')
('Kingdom', 'DEM', 'LOC')
('Lord', 'PERSON', 'DEM')
('Justice', 'PERSON', 'DEM')
('Nourse', 'PERSON', 'DEM')
('Northern', 'ORG', 'LOC')
('Ireland', 'ORG', 'LOC')
('United', 'ORG', 'LOC')
('Kingdom', 'ORG', 'LOC')
('trial', 'DATETIME', 'MISC')
('doctor', 'MISC', 'DEM')
('patient', 'MISC', 'DEM')
('Lord', 'PERSON', 'DEM')
('Justice', 'PERSON', 'DEM')
('Nourse', 'PERSON', 'DEM')
('Northern', 'ORG', 'LOC')
('Ireland', 'ORG', 'LOC')
('United', 'DEM', 'LOC')
('Kingdom', 'DEM', 'LOC')
('212', 'CODE', 'QUANTITY')
('Lord', 'PERSON', 'DEM')
('Justice', 'PERSON', 'DEM')
('Nourse', 'PERSON', 'DEM')
('appeal', 'ORG', 'MISC')
('Northern', 'ORG', 'LOC')
('Ireland', 'ORG', 'LOC')
('United', 'DEM', 'LOC')
('Kingdom', 'DEM', 'LOC')
('patient', 'MISC', 'DEM')
('patient', 'MISC', 'DEM')
('doctor', 'MISC', 'DEM')
('patient', 'MISC', 'DEM')
('212', 'LOC', 'QUANTITY')
('Nourse', 'PERSON', 'DEM')
('Izmir', 'LOC', 'MISC')
('Turkish', 'ORG', 'DEM')
('Government', 'ORG', 'MISC')
('Polish', 'ORG', 'DEM')
('Government', 'ORG', 'MISC')
('Opole', 'ORG', 'LOC')
('Lubelskie', 'ORG', 'LOC')
('Prison', 'ORG', 'LOC')
('Opole', 'ORG', 'LOC')
('Lubelskie', 'ORG', 'LOC')
('Prison', 'ORG', 'LOC')
('Opole', 'ORG', 'LOC')
('Lubelskie', 'ORG', 'LOC')
('Polish', 'ORG', 'DEM')
('Government', 'ORG', 'MISC')
('Opole', 'ORG', 'LOC')
('Lubelskie', 'ORG', 'LOC')
('Prison', 'ORG', 'LOC')
('Opole', 'ORG', 'LOC')
('Lubelskie', 'ORG', 'LOC')
('Prison', 'ORG', 'LOC')
('Opole', 'ORG', 'LOC')
('Lubelskie', 'ORG', 'LOC')
('Northern', 'ORG', 'LOC')
('Ireland', 'ORG', 'LOC')
('United', 'ORG', 'LOC')
('Kingdom', 'ORG', 'LOC')
('Government', 'ORG', 'MISC')
('Philip', 'PERSON', 'DEM')
('Northern', 'ORG', 'LOC')
('Ireland', 'ORG', 'LOC')
('United', 'DEM', 'LOC')
('Kingdom', 'DEM', 'LOC')
('Philip', 'PERSON', 'DEM')
('Northern', 'ORG', 'LOC')
('Ireland', 'ORG', 'LOC')
('United', 'DEM', 'LOC')
('Kingdom', 'DEM', 'LOC')
('police', 'MISC', 'DEM')
('officer', 'MISC', 'DEM')
('Sheriff', 'ORG', 'DEM')
('civilian', 'MISC', 'DEM')
('Lord', 'PERSON', 'DEM')
('Philip', 'PERSON', 'DEM')
('Northern', 'ORG', 'LOC')
('Ireland', 'ORG', 'LOC')
('United', 'DEM', 'LOC')
('Kingdom', 'DEM', 'LOC')
('Aberdeen', 'ORG', 'LOC')
('Sheriff', 'ORG', 'DEM')
('Lord', 'PERSON', 'DEM')
('Philip', 'PERSON', 'DEM')
('Lord', 'PERSON', 'DEM')
('Justice', 'PERSON', 'DEM')
('General', 'PERSON', 'DEM')
('Northern', 'ORG', 'LOC')
('Ireland', 'ORG', 'LOC')
('United', 'DEM', 'LOC')
('Kingdom', 'DEM', 'LOC')
('Sheriff', 'ORG', 'DEM')
('Advocate', 'ORG', 'DEM')
('Lord', 'PERSON', 'DEM')
('Philip', 'PERSON', 'DEM')
('Northern', 'ORG', 'LOC')
('Ireland', 'ORG', 'LOC')
('United', 'ORG', 'LOC')
('Kingdom', 'ORG', 'LOC')
('Aberdeen', 'ORG', 'LOC')
('Lord', 'PERSON', 'DEM')
('Philip', 'PERSON', 'DEM')
('Northern', 'ORG', 'LOC')
('Ireland', 'ORG', 'LOC')
('United', 'DEM', 'LOC')
('Kingdom', 'DEM', 'LOC')
('police', 'MISC', 'DEM')
('officer', 'MISC', 'DEM')
('Lord', 'PERSON', 'DEM')
('Philip', 'PERSON', 'DEM')
('Turkish', 'ORG', 'DEM')
('Government', 'ORG', 'MISC')
('Cyprus', 'LOC', 'ORG')
('511', 'CODE', 'QUANTITY')
('513', 'CODE', 'QUANTITY')
('19', 'CODE', 'QUANTITY')
('20', 'CODE', 'QUANTITY')
('28', 'CODE', 'QUANTITY')
('29', 'CODE', 'QUANTITY')
('98', 'CODE', 'QUANTITY')
('296', 'CODE', 'QUANTITY')
('22', 'CODE', 'QUANTITY')
('42', 'CODE', 'QUANTITY')
('2', 'CODE', 'QUANTITY')
('2', 'CODE', 'QUANTITY')
('104', 'CODE', 'QUANTITY')
('1', 'CODE', 'QUANTITY')
('53', 'CODE', 'QUANTITY')
('773', 'CODE', 'QUANTITY')
('774', 'CODE', 'QUANTITY')
('775', 'CODE', 'QUANTITY')
('776', 'CODE', 'QUANTITY')
('2', 'CODE', 'QUANTITY')
('Turkish', 'ORG', 'DEM')
('Government', 'ORG', 'MISC')
('Cyprus', 'LOC', 'ORG')
('Turkish', 'ORG', 'DEM')
('army', 'ORG', 'DEM')
('2', 'MISC', 'QUANTITY')
('282', 'MISC', 'QUANTITY')
('sq', 'MISC', 'QUANTITY')
('m', 'MISC', 'QUANTITY')
('511', 'CODE', 'QUANTITY')
('513', 'CODE', 'QUANTITY')
('3', 'MISC', 'QUANTITY')
('862', 'MISC', 'QUANTITY')
('sq', 'MISC', 'QUANTITY')
('m', 'MISC', 'QUANTITY')
('3', 'MISC', 'QUANTITY')
('405', 'MISC', 'QUANTITY')
('sq', 'MISC', 'QUANTITY')
('m', 'MISC', 'QUANTITY')
('19', 'CODE', 'QUANTITY')
('20', 'CODE', 'QUANTITY')
('28', 'CODE', 'QUANTITY')
('29', 'CODE', 'QUANTITY')
('1', 'MISC', 'QUANTITY')
('053', 'MISC', 'QUANTITY')
('sq', 'MISC', 'QUANTITY')
('m', 'MISC', 'QUANTITY')
('1', 'MISC', 'QUANTITY')
('024', 'MISC', 'QUANTITY')
('sq', 'MISC', 'QUANTITY')
('m', 'MISC', 'QUANTITY')
('1', 'MISC', 'QUANTITY')
('769', 'MISC', 'QUANTITY')
('sq', 'MISC', 'QUANTITY')
('m', 'MISC', 'QUANTITY')
('1', 'MISC', 'QUANTITY')
('405', 'MISC', 'QUANTITY')
('sq', 'MISC', 'QUANTITY')
('m', 'MISC', 'QUANTITY')
('98', 'CODE', 'QUANTITY')
('5', 'MISC', 'QUANTITY')
('219', 'MISC', 'QUANTITY')
