('legislative', 'MISC', 'DEM')
('assembly', 'MISC', 'DEM')
('Gujarat', 'LOC', 'ORG')
('Naroda', 'PERSON', 'MISC')
('Gujarat', 'MISC', 'LOC')
('co', 'DEM', 'MISC')
('founded', 'DEM', 'MISC')
('co', 'DEM', 'MISC')
('founded', 'DEM', 'MISC')
('co', 'DEM', 'MISC')
('fraud', 'MISC', 'DEM')
('fraud', 'MISC', 'DEM')
('politics', 'MISC', 'DEM')
('track', 'MISC', 'DEM')
('11', 'MISC', 'QUANTITY')
('You', 'MISC', 'ORG')
('kai', 'MISC', 'ORG')
('Nigerian', 'ORG', 'DEM')
('government', 'ORG', 'DEM')
('mesothelioma', 'DEM', 'MISC')
('asbestos', 'DEM', 'MISC')
('Late', 'ORG', 'MISC')
('Show', 'ORG', 'MISC')
('David', 'ORG', 'PERSON')
('Letterman', 'ORG', 'PERSON')
('14th', 'MISC', 'QUANTITY')
('Annual', 'MISC', 'QUANTITY')
('USA', 'MISC', 'QUANTITY')
('Songwriting', 'MISC', 'QUANTITY')
('Competition', 'MISC', 'QUANTITY')
('Jefferson', 'LOC', 'ORG')
('County', 'LOC', 'ORG')
('Orange', 'ORG', 'LOC')
('County', 'ORG', 'LOC')
('district', 'ORG', 'DEM')
('1', 'ORG', 'QUANTITY')
('dove', 'MISC', 'DEM')
('head', 'MISC', 'DEM')
('Zagreb', 'LOC', 'DEM')
('hotel', 'ORG', 'MISC')
('Ante', 'PERSON', 'MISC')
('Starčević', 'PERSON', 'MISC')
('Petar', 'PERSON', 'MISC')
('Thor', 'PERSON', 'MISC')
('Great', 'PERSON', 'MISC')
('Wishing', 'PERSON', 'MISC')
('Star', 'PERSON', 'MISC')
('No', 'PERSON', 'MISC')
('Heart', 'PERSON', 'MISC')
('Nelvana', 'PERSON', 'ORG')
('kick', 'DEM', 'MISC')
('returne', 'DEM', 'MISC')
('sixth', 'MISC', 'QUANTITY')
('Wales', 'LOC', 'ORG')
('Wales', 'LOC', 'ORG')
('Wales', 'LOC', 'ORG')
('Wales', 'LOC', 'ORG')
('Wales', 'LOC', 'ORG')
('club', 'DEM', 'MISC')
('Five', 'ORG', 'MISC')
('Nations', 'ORG', 'MISC')
('Five', 'ORG', 'MISC')
('Nations', 'ORG', 'MISC')
('Murrayfield', 'LOC', 'MISC')
('Rugby', 'ORG', 'MISC')
('World', 'ORG', 'MISC')
('Cup', 'ORG', 'MISC')
('Prime', 'PERSON', 'DEM')
('Minister', 'PERSON', 'DEM')
('Australia', 'DEM', 'ORG')
('Italy', 'LOC', 'ORG')
('Fianna', 'ORG', 'DEM')
('Fáil', 'ORG', 'DEM')
('Carlow', 'PERSON', 'MISC')
('Kilkenny', 'PERSON', 'MISC')
('Dáil', 'DEM', 'ORG')
('politics', 'MISC', 'DEM')
('married', 'DEM', 'MISC')
('school', 'ORG', 'DEM')
('vocational', 'ORG', 'DEM')
('school', 'ORG', 'DEM')
('general', 'MISC', 'DEM')
('election', 'MISC', 'DEM')
('general', 'MISC', 'DEM')
('election', 'MISC', 'DEM')
('defensive', 'DEM', 'MISC')
('midfielder', 'DEM', 'MISC')
('Commonwealth', 'ORG', 'MISC')
